Spotting ID,Bee Spotter,Date Spotted,Date Submitted,Title,Latitude,Longitude,Amateur Species Identification,Expert Species Identification (Primary),Expert Species Identification (Secondary),Protected Species?,Location Obscured?,Sex,Caste,Spotting URL,Number of Days Between Date Spotted and Date Added to Site,Photo ID,Rating,Has Pollen on Legs,Flower,Image URL
13777,Terrie,3/4/2023,4/4/2023,First Honeybee,414.760.922.651.199,-8.769.956.588.745.110,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/13777,31,27459,10,No,,https://beespotter.org/beedata/bees/13777-2.jpg
13777,Terrie,3/4/2023,4/4/2023,First Honeybee,414.760.922.651.199,-8.769.956.588.745.110,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/13777,31,27458,10,No,,https://beespotter.org/beedata/bees/13777-1.jpg
13775,lilyaceae,3/30/2023,4/1/2023,Bumblebee on bluebells,37.721.493.957.261.500,-8.924.680.446.544.330,,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/13775,2,27456,10,No,,https://beespotter.org/beedata/bees/13775-4.png
13775,lilyaceae,3/30/2023,4/1/2023,Bumblebee on bluebells,37.721.493.957.261.500,-8.924.680.446.544.330,,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/13775,2,27455,10,No,,https://beespotter.org/beedata/bees/13775-3.png
13775,lilyaceae,3/30/2023,4/1/2023,Bumblebee on bluebells,37.721.493.957.261.500,-8.924.680.446.544.330,,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/13775,2,27454,10,No,,https://beespotter.org/beedata/bees/13775-2.jpg
13775,lilyaceae,3/30/2023,4/1/2023,Bumblebee on bluebells,37.721.493.957.261.500,-8.924.680.446.544.330,,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/13775,2,27453,10,No,,https://beespotter.org/beedata/bees/13775-1.jpg
13786,Tiger,4/3/2023,4/14/2023,First of season,4.222.795.106.810.990,-8.894.339.203.834.530,,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/13786,11,27477,10,No,,https://beespotter.org/beedata/bees/13786-2.jpg
13786,Tiger,4/3/2023,4/14/2023,First of season,4.222.795.106.810.990,-8.894.339.203.834.530,,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/13786,11,27476,10,No,,https://beespotter.org/beedata/bees/13786-1.jpg
13778,menendeza17,4/9/2023,4/9/2023,Bumble on periwinkle,416.192.900.738.124,-8.709.094.583.988.190,Bombus impatiens,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/13778,0,27461,10,No,,https://beespotter.org/beedata/bees/13778-2.jpg
13778,menendeza17,4/9/2023,4/9/2023,Bumble on periwinkle,416.192.900.738.124,-8.709.094.583.988.190,Bombus impatiens,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/13778,0,27460,10,No,,https://beespotter.org/beedata/bees/13778-1.jpg
13781,scameron,4/9/2023,4/12/2023,B. impatiens queen on Rhododendron,4.011.896,-882.614,Bombus impatiens,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/13781,3,27465,10,No,Rhododendron,https://beespotter.org/beedata/bees/13781-3.jpg
13781,scameron,4/9/2023,4/12/2023,B. impatiens queen on Rhododendron,4.011.896,-882.614,Bombus impatiens,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/13781,3,27464,10,No,Rhododendron,https://beespotter.org/beedata/bees/13781-2.jpg
13781,scameron,4/9/2023,4/12/2023,B. impatiens queen on Rhododendron,4.011.896,-882.614,Bombus impatiens,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/13781,3,27463,10,No,Rhododendron,https://beespotter.org/beedata/bees/13781-1.jpg
13782,scameron,4/9/2023,4/12/2023,Bimaculatus queen flying to Dicentra cucullaria (Dutchman's breeches),4.009.393,-8.853.088,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/13782,3,27467,8,No,,https://beespotter.org/beedata/bees/13782-2.jpg
13782,scameron,4/9/2023,4/12/2023,Bimaculatus queen flying to Dicentra cucullaria (Dutchman's breeches),4.009.393,-8.853.088,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/13782,3,27466,8,No,,https://beespotter.org/beedata/bees/13782-1.jpg
13780,bigattichouse,4/11/2023,4/11/2023,Hugel Alehoof,40.740.613.649.274.700,-8.871.908.426.284.790,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/13780,0,27462,10,No,,https://beespotter.org/beedata/bees/13780-1.jpg
13783,menendeza17,4/12/2023,4/12/2023,Bumble bee 4/12/23 6:19pm,4.161.933.418.712.190,-8.709.112.823.009.490,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/13783,0,27470,10,No,,https://beespotter.org/beedata/bees/13783-3.jpg
13783,menendeza17,4/12/2023,4/12/2023,Bumble bee 4/12/23 6:19pm,4.161.933.418.712.190,-8.709.112.823.009.490,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/13783,0,27469,10,No,,https://beespotter.org/beedata/bees/13783-2.jpg
13783,menendeza17,4/12/2023,4/12/2023,Bumble bee 4/12/23 6:19pm,4.161.933.418.712.190,-8.709.112.823.009.490,Bombus bimaculatus,Bombus bimaculatus,,f,f,female,Worker,https://beespotter.org/bee/13783,0,27468,10,No,,https://beespotter.org/beedata/bees/13783-1.jpg
13784,menendeza17,4/12/2023,4/12/2023,Bombus 4/12/23 6:16pm,416.191.701.140.032,-8.709.131.272.180.900,Bombus impatiens,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/13784,0,27471,10,No,,https://beespotter.org/beedata/bees/13784-1.jpg
