Spotting ID,Bee Spotter,Date Spotted,Date Submitted,Title,Latitude,Longitude,Amateur Species Identification,Expert Species Identification (Primary),Expert Species Identification (Secondary),Protected Species?,Location Obscured?,Sex,Caste,Spotting URL,Number of Days Between Date Spotted and Date Added to Site,Photo ID,Rating,Has Pollen on Legs,Flower,Image URL
8165,drea1785,3/27/2019,4/11/2019,Burnett Woods Yellow Flowers,3.914.118.007.609.290,-845.157.140.493.393,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/8165,15,15348,10,No,,https://beespotter.org/beedata/bees/8165-6.jpg
8165,drea1785,3/27/2019,4/11/2019,Burnett Woods Yellow Flowers,3.914.118.007.609.290,-845.157.140.493.393,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/8165,15,15347,10,No,,https://beespotter.org/beedata/bees/8165-5.jpg
8165,drea1785,3/27/2019,4/11/2019,Burnett Woods Yellow Flowers,3.914.118.007.609.290,-845.157.140.493.393,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/8165,15,15346,10,No,,https://beespotter.org/beedata/bees/8165-4.jpg
8165,drea1785,3/27/2019,4/11/2019,Burnett Woods Yellow Flowers,3.914.118.007.609.290,-845.157.140.493.393,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/8165,15,15345,10,Yes,,https://beespotter.org/beedata/bees/8165-3.jpg
8160,Streetandsky41,4/8/2019,4/8/2019,Bees by nickis,42.180.728.713.113.700,-8.901.777.505.874.630,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/8160,0,15335,10,No,,https://beespotter.org/beedata/bees/8160-2.jpg
8160,Streetandsky41,4/8/2019,4/8/2019,Bees by nickis,42.180.728.713.113.700,-8.901.777.505.874.630,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/8160,0,15334,10,No,,https://beespotter.org/beedata/bees/8160-1.jpg
8161,Joel Neylon,4/8/2019,4/8/2019,Trash Can,4.226.248.183.841.650,-888.691.645.860.672,Bombus griseocollis,Bombus griseocollis,,f,f,female,Queen,https://beespotter.org/bee/8161,0,15336,10,No,,https://beespotter.org/beedata/bees/8161-1.jpg
8162,Ritualstain,4/8/2019,4/9/2019,Crocus,42.341.079.578.717.600,-8.930.320.501.327.510,Bombus impatiens,Bombus impatiens,,f,f,female,Worker,https://beespotter.org/bee/8162,1,15337,10,No,,https://beespotter.org/beedata/bees/8162-1.jpg
8171,Jennad600,4/16/2019,4/16/2019,Hyacinths and Creeping Charlie,4.042.210.114.520.310,-9.080.018.266.955.450,Bombus vagans,Bombus griseocollis,,f,f,female,Worker,https://beespotter.org/bee/8171,0,15364,10,No,,https://beespotter.org/beedata/bees/8171-9.jpg
8171,Jennad600,4/16/2019,4/16/2019,Hyacinths and Creeping Charlie,4.042.210.114.520.310,-9.080.018.266.955.450,Bombus vagans,Bombus griseocollis,,f,f,female,Worker,https://beespotter.org/bee/8171,0,15362,10,No,,https://beespotter.org/beedata/bees/8171-7.jpg
